# os:     macos-latest
# arch:   arm64
# kernel: Darwin 24.6.0 arm64
# go:     go version go1.25.7 darwin/arm64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:28:12Z
BenchmarkPost_JSON-3                	10633887	       234.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkPost_JSON-3                	11173416	       230.0 ns/op	       1 B/op	       0 allocs/op
BenchmarkPost_JSON-3                	10876563	       224.8 ns/op	       3 B/op	       0 allocs/op
BenchmarkPost_JSON-3                	11107759	       237.6 ns/op	       3 B/op	       0 allocs/op
BenchmarkPost_JSON-3                	11947632	       223.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkPost_JSON-3                	11191053	       231.8 ns/op	       1 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 9690502	       259.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 9433112	       252.2 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 9490838	       261.8 ns/op	       3 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 8974772	       256.5 ns/op	       3 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 9536344	       266.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-3                	 9125506	       254.3 ns/op	       3 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	35639814	        69.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	37947288	        69.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	36250102	        70.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	36794272	        69.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	37320273	        70.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-3                	31323277	        71.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.166 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.107 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-3            	1000000000	         2.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	15465980	       171.9 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	14181986	       171.6 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	13480106	       165.0 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	13729819	       160.8 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	14132707	       162.2 ns/op	       2 B/op	       0 allocs/op
BenchmarkPost_Dropped-3             	13806412	       177.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-3             	50235654	        50.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-3             	47037878	        51.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-3             	47489527	        53.86 ns/op	       0 B/op	       0 allocs/op
