# os:     ubuntu-24.04-arm
# arch:   arm64
# kernel: Linux 6.14.0-1017-azure aarch64
# go:     go version go1.25.8 linux/arm64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:27:44Z
BenchmarkPost_JSON-4                	 5148468	       481.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_JSON-4                	 4854537	       481.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_JSON-4                	 5144775	       452.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_JSON-4                	 5135628	       463.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_JSON-4                	 5260136	       450.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_JSON-4                	 5157918	       449.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 5223148	       469.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 4905673	       500.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 5003868	       477.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 5443378	       486.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 5003437	       491.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Text-4                	 4976265	       487.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30763839	        78.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30807536	        78.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30849693	        78.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30739423	        78.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30859682	        79.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_JSON-4                	30761787	        78.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	983722632	         2.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	985111747	         2.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	984538951	         2.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	985024580	         2.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	985435998	         2.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkSend_Disabled-4            	987733652	         2.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5490001	       468.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5310895	       460.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5309180	       470.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5157556	       465.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5403312	       463.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkPost_Dropped-4             	 5199727	       462.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	42143968	        57.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	42048154	        56.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	41998764	        57.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	42049981	        56.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	42009298	        57.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_JSON-4             	42184344	        56.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40723129	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40837471	        58.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40850110	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40908986	        58.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40899285	        58.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder_Text-4             	40748568	        58.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendJSONStr-4            	168812043	        14.25 ns/op	       0 B/op	       0 allocs/op
